evaluation_id,run_id,arm_id,episode_index,step_index,source_state,action_id,action_repr,reward,target_state,terminated,truncated,active_tier_before,active_tier_after
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,0,0,"beat0:pitches(60, 64, 67)",68,"(0, 1, 1)",1.4833333333333332,"beat1:pitches(60, 65, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,0,1,"beat1:pitches(60, 65, 68)",56,"(0, -1, -1)",1.4833333333333332,"beat2:pitches(60, 64, 67)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,0,2,"beat2:pitches(60, 64, 67)",68,"(0, 1, 1)",1.4833333333333332,"beat3:pitches(60, 65, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,0,3,"beat3:pitches(60, 65, 68)",57,"(0, -1, 0)",1.6305555555555555,"beat0:pitches(60, 64, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,0,4,"beat0:pitches(60, 64, 68)",57,"(0, -1, 0)",1.5194444444444444,"beat1:pitches(60, 63, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,0,5,"beat1:pitches(60, 63, 68)",123,"(2, 2, 1)",1.3194444444444444,"beat2:pitches(62, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,0,6,"beat2:pitches(62, 65, 69)",73,"(0, 2, 1)",1.4249999999999998,"beat3:pitches(62, 67, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,0,7,"beat3:pitches(62, 67, 70)",0,"(-2, -2, -2)",2.35,"beat0:pitches(60, 65, 68)",True,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,1,0,"beat0:pitches(60, 65, 68)",62,"(0, 0, 0)",1.5999999999999999,"beat1:pitches(60, 65, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,1,1,"beat1:pitches(60, 65, 68)",114,"(2, 0, 2)",1.3666666666666665,"beat2:pitches(62, 65, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,1,2,"beat2:pitches(62, 65, 70)",9,"(-2, -1, 2)",1.3527777777777779,"beat3:pitches(60, 64, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,1,3,"beat3:pitches(60, 64, 72)",121,"(2, 2, -1)",1.5083333333333333,"beat0:pitches(62, 66, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,1,4,"beat0:pitches(62, 66, 71)",3,"(-2, -2, 1)",1.3527777777777779,"beat1:pitches(60, 64, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,1,5,"beat1:pitches(60, 64, 72)",115,"(2, 1, -2)",1.4083333333333332,"beat2:pitches(62, 65, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,1,6,"beat2:pitches(62, 65, 70)",0,"(-2, -2, -2)",1.2277777777777779,"beat3:pitches(60, 63, 68)",False,False,,
