evaluation_id,run_id,arm_id,episode_index,step_index,source_state,action_id,action_repr,reward,target_state,terminated,truncated,active_tier_before,active_tier_after
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,0,0,"beat0:pitches(62, 66, 69)",6,"(-2, -1, -1)",1.3666666666666665,"beat1:pitches(60, 65, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,0,1,"beat1:pitches(60, 65, 68)",114,"(2, 0, 2)",1.3666666666666665,"beat2:pitches(62, 65, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,0,2,"beat2:pitches(62, 65, 70)",4,"(-2, -2, 2)",1.2833333333333334,"beat3:pitches(60, 63, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,0,3,"beat3:pitches(60, 63, 72)",72,"(0, 2, 0)",1.538888888888889,"beat0:pitches(60, 65, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,0,4,"beat0:pitches(60, 65, 72)",120,"(2, 2, -2)",1.35,"beat1:pitches(62, 67, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,0,5,"beat1:pitches(62, 67, 70)",114,"(2, 0, 2)",1.3666666666666665,"beat2:pitches(64, 67, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,0,6,"beat2:pitches(64, 67, 72)",92,"(1, 1, 0)",1.4833333333333332,"beat3:pitches(65, 68, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,0,7,"beat3:pitches(65, 68, 72)",37,"(-1, 0, 0)",2.6305555555555555,"beat0:pitches(64, 68, 72)",True,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,1,0,"beat0:pitches(60, 64, 67)",64,"(0, 0, 2)",1.461111111111111,"beat1:pitches(60, 64, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,1,1,"beat1:pitches(60, 64, 69)",124,"(2, 2, 2)",1.25,"beat2:pitches(62, 66, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,1,2,"beat2:pitches(62, 66, 71)",8,"(-2, -1, 1)",1.4222222222222223,"beat3:pitches(60, 65, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,1,3,"beat3:pitches(60, 65, 72)",121,"(2, 2, -1)",1.4972222222222222,"beat0:pitches(62, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,1,4,"beat0:pitches(62, 67, 71)",62,"(0, 0, 0)",1.5888888888888888,"beat1:pitches(62, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,1,5,"beat1:pitches(62, 67, 71)",56,"(0, -1, -1)",1.4944444444444445,"beat2:pitches(62, 66, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,1,6,"beat2:pitches(62, 66, 70)",124,"(2, 2, 2)",1.238888888888889,"beat3:pitches(64, 68, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,1,7,"beat3:pitches(64, 68, 72)",92,"(1, 1, 0)",2.572222222222222,"beat0:pitches(65, 69, 72)",True,False,,
