evaluation_id,run_id,arm_id,mode_id,schema_id,schema_seed,seed_bundle_id,replicate_index,status,artifact_root,started_at,ended_at
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep0,direct_masked_random,direct_env_masked_random,,,seed-7fe8666539580bdb,0,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/v071_002_clean/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T02:08:29.949416+00:00,2026-05-31T02:08:29.973286+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,direct_env_masked_random,,,seed-f2dc11649bc773f7,1,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/v071_002_clean/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T02:08:30.119197+00:00,2026-05-31T02:08:30.132794+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep2,direct_masked_random,direct_env_masked_random,,,seed-3ca872abbb2c8edf,2,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/v071_002_clean/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T02:08:30.278405+00:00,2026-05-31T02:08:30.292083+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep3,direct_masked_random,direct_env_masked_random,,,seed-bdc0a4ee553b5fe0,3,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/v071_002_clean/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T02:08:30.441782+00:00,2026-05-31T02:08:30.456347+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep0,direct_tabular_q,direct_env_tabular,,,seed-7fe8666539580bdb,0,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/v071_002_clean/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T02:08:30.668887+00:00,2026-05-31T02:08:30.683609+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep1,direct_tabular_q,direct_env_tabular,,,seed-f2dc11649bc773f7,1,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/v071_002_clean/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T02:08:30.897764+00:00,2026-05-31T02:08:30.913625+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep2,direct_tabular_q,direct_env_tabular,,,seed-3ca872abbb2c8edf,2,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/v071_002_clean/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T02:08:31.133379+00:00,2026-05-31T02:08:31.147491+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_tabular_q-rep3,direct_tabular_q,direct_env_tabular,,,seed-bdc0a4ee553b5fe0,3,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/v071_002_clean/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T02:08:31.361652+00:00,2026-05-31T02:08:31.376681+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema586944204-rep0,tower_empty_exploit_explore_tabular_q,tower_exploit_explore,counterpoint_empty_schema_v001,,seed-7fe8666539580bdb,0,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/v071_002_clean/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T02:08:31.642426+00:00,2026-05-31T02:08:31.683777+00:00
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-tower_empty_exploit_explore_tabular_q-schema1640250817-rep1,tower_empty_exploit_explore_tabular_q,tower_exploit_explore,counterpoint_empty_schema_v001,,seed-f2dc11649bc773f7,1,success,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/first_serious_learning/artifacts/v071_002_clean/evaluations/counterpoint_first_serious_learning_v001,2026-05-31T02:08:31.958349+00:00,2026-05-31T02:08:31.999089+00:00
