evaluation_id,run_id,arm_id,episode_index,step_index,source_state,action_id,action_repr,reward,target_state,terminated,truncated,active_tier_before,active_tier_after
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,0,0,"beat0:pitches(62, 66, 69)",69,"(0, 1, 2)",1.4138888888888888,"beat1:pitches(62, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,0,1,"beat1:pitches(62, 67, 71)",57,"(0, -1, 0)",1.5416666666666665,"beat2:pitches(62, 66, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,0,2,"beat2:pitches(62, 66, 71)",18,"(-2, 1, 1)",1.4222222222222223,"beat3:pitches(60, 67, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,0,3,"beat3:pitches(60, 67, 72)",62,"(0, 0, 0)",1.6555555555555557,"beat0:pitches(60, 67, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,0,4,"beat0:pitches(60, 67, 72)",106,"(2, -1, -1)",1.4666666666666666,"beat1:pitches(62, 66, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,0,5,"beat1:pitches(62, 66, 71)",5,"(-2, -1, -2)",1.297222222222222,"beat2:pitches(60, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,0,6,"beat2:pitches(60, 65, 69)",62,"(0, 0, 0)",1.5888888888888888,"beat3:pitches(60, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,0,7,"beat3:pitches(60, 65, 69)",119,"(2, 1, 2)",2.408333333333333,"beat0:pitches(62, 66, 71)",True,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,1,0,"beat0:pitches(62, 66, 69)",68,"(0, 1, 1)",1.4833333333333332,"beat1:pitches(62, 67, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,1,1,"beat1:pitches(62, 67, 70)",57,"(0, -1, 0)",1.5527777777777778,"beat2:pitches(62, 66, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,1,2,"beat2:pitches(62, 66, 70)",67,"(0, 1, 0)",1.5416666666666665,"beat3:pitches(62, 67, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,1,3,"beat3:pitches(62, 67, 70)",119,"(2, 1, 2)",1.3972222222222221,"beat0:pitches(64, 68, 72)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,1,4,"beat0:pitches(64, 68, 72)",56,"(0, -1, -1)",1.4944444444444445,"beat1:pitches(64, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,1,5,"beat1:pitches(64, 67, 71)",12,"(-2, 0, 0)",1.472222222222222,"beat2:pitches(62, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,1,6,"beat2:pitches(62, 67, 71)",56,"(0, -1, -1)",1.4944444444444445,"beat3:pitches(62, 66, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,1,7,"beat3:pitches(62, 66, 70)",119,"(2, 1, 2)",2.408333333333333,"beat0:pitches(64, 67, 72)",True,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,2,0,"beat0:pitches(60, 65, 68)",63,"(0, 0, 1)",1.5305555555555554,"beat1:pitches(60, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,2,1,"beat1:pitches(60, 65, 69)",56,"(0, -1, -1)",1.472222222222222,"beat2:pitches(60, 64, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,2,2,"beat2:pitches(60, 64, 68)",68,"(0, 1, 1)",1.472222222222222,"beat3:pitches(60, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,2,3,"beat3:pitches(60, 65, 69)",113,"(2, 0, 1)",1.525,"beat0:pitches(62, 65, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,2,4,"beat0:pitches(62, 65, 70)",68,"(0, 1, 1)",1.4833333333333332,"beat1:pitches(62, 66, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,2,5,"beat1:pitches(62, 66, 71)",60,"(0, 0, -2)",1.5055555555555555,"beat2:pitches(62, 66, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,2,6,"beat2:pitches(62, 66, 69)",69,"(0, 1, 2)",1.4138888888888888,"beat3:pitches(62, 67, 71)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,2,7,"beat3:pitches(62, 67, 71)",62,"(0, 0, 0)",2.688888888888889,"beat0:pitches(62, 67, 71)",True,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,3,0,"beat0:pitches(60, 64, 67)",64,"(0, 0, 2)",1.461111111111111,"beat1:pitches(60, 64, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,3,1,"beat1:pitches(60, 64, 69)",61,"(0, 0, -1)",1.5305555555555554,"beat2:pitches(60, 64, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,3,2,"beat2:pitches(60, 64, 68)",62,"(0, 0, 0)",1.5888888888888888,"beat3:pitches(60, 64, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,3,3,"beat3:pitches(60, 64, 68)",61,"(0, 0, -1)",1.6416666666666666,"beat0:pitches(60, 64, 67)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,3,4,"beat0:pitches(60, 64, 67)",58,"(0, -1, 1)",1.5611111111111111,"beat1:pitches(60, 63, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,3,5,"beat1:pitches(60, 63, 68)",66,"(0, 1, -1)",1.5833333333333333,"beat2:pitches(60, 64, 67)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,3,6,"beat2:pitches(60, 64, 67)",63,"(0, 0, 1)",1.5305555555555554,"beat3:pitches(60, 64, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,3,7,"beat3:pitches(60, 64, 68)",62,"(0, 0, 0)",2.688888888888889,"beat0:pitches(60, 64, 68)",True,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,4,0,"beat0:pitches(60, 65, 68)",57,"(0, -1, 0)",1.5305555555555554,"beat1:pitches(60, 64, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,4,1,"beat1:pitches(60, 64, 68)",61,"(0, 0, -1)",1.5416666666666665,"beat2:pitches(60, 64, 67)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,4,2,"beat2:pitches(60, 64, 67)",57,"(0, -1, 0)",1.5305555555555554,"beat3:pitches(60, 63, 67)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,4,3,"beat3:pitches(60, 63, 67)",67,"(0, 1, 0)",1.6416666666666666,"beat0:pitches(60, 64, 67)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,4,4,"beat0:pitches(60, 64, 67)",69,"(0, 1, 2)",1.4138888888888888,"beat1:pitches(60, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,4,5,"beat1:pitches(60, 65, 69)",62,"(0, 0, 0)",1.5888888888888888,"beat2:pitches(60, 65, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,4,6,"beat2:pitches(60, 65, 69)",51,"(0, -2, -1)",1.4027777777777777,"beat3:pitches(60, 63, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,4,7,"beat3:pitches(60, 63, 68)",73,"(0, 2, 1)",2.513888888888889,"beat0:pitches(60, 65, 69)",True,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,5,0,"beat0:pitches(60, 63, 67)",69,"(0, 1, 2)",1.4027777777777777,"beat1:pitches(60, 64, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,5,1,"beat1:pitches(60, 64, 69)",62,"(0, 0, 0)",1.5777777777777777,"beat2:pitches(60, 64, 69)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,5,2,"beat2:pitches(60, 64, 69)",118,"(2, 1, 1)",1.3666666666666665,"beat3:pitches(62, 65, 70)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,5,3,"beat3:pitches(62, 65, 70)",10,"(-2, 0, -2)",1.4666666666666666,"beat0:pitches(60, 65, 68)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,5,4,"beat0:pitches(60, 65, 68)",51,"(0, -2, -1)",1.4138888888888888,"beat1:pitches(60, 63, 67)",False,False,,
counterpoint_first_serious_learning_v001,counterpoint_symbolic_n3_small_v001-direct_masked_random-rep1,direct_masked_random,5,5,"beat1:pitches(60, 63, 67)",63,"(0, 0, 1)",1.5194444444444444,"beat2:pitches(60, 63, 68)",False,False,,
