evaluation_id,run_id,instance_id,arm_id,numerator,denominator,requested_rate,selector_rule_id,schema_seed,replicate_index,selected_edge_count,source_count_with_selected_edges,zero_selected_source_count,realized_source_coverage,processed_edge_count,useful_coalescence_count,redundant_or_internal_edge_count,state_cell_count_after_block,largest_coalesced_cell_size,largest_coalesced_cell_share,processed_edge_index_at_first_singleton,collapse_required_most_of_block
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_n3_small_v001-no_contraction_control-schema0-rep0,counterpoint_symbolic_n3_small_v001,no_contraction_control,0,1,0.0,no_contraction_control,0,0,0,0,108,0.0,0,0,0,108,1,0.009259259259259259,,
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_n3_small_v001-no_contraction_control-schema1-rep0,counterpoint_symbolic_n3_small_v001,no_contraction_control,0,1,0.0,no_contraction_control,1,0,0,0,108,0.0,0,0,0,108,1,0.009259259259259259,,
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_n3_small_v001-no_contraction_control-schema2-rep0,counterpoint_symbolic_n3_small_v001,no_contraction_control,0,1,0.0,no_contraction_control,2,0,0,0,108,0.0,0,0,0,108,1,0.009259259259259259,,
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema0-rep0,counterpoint_symbolic_n3_small_v001,p001_over_144,1,144,0.006944444444444444,counterpoint_sha256_edge_threshold_v001,0,0,8,8,100,0.07407407407407407,8,8,0,100,2,0.018518518518518517,,
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema1-rep0,counterpoint_symbolic_n3_small_v001,p001_over_144,1,144,0.006944444444444444,counterpoint_sha256_edge_threshold_v001,1,0,4,4,104,0.037037037037037035,4,4,0,104,2,0.018518518518518517,,
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_n3_small_v001-p001_over_144-schema2-rep0,counterpoint_symbolic_n3_small_v001,p001_over_144,1,144,0.006944444444444444,counterpoint_sha256_edge_threshold_v001,2,0,10,9,99,0.08333333333333333,10,10,0,98,3,0.027777777777777776,,
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema0-rep0,counterpoint_symbolic_n3_small_v001,p001_over_036,1,36,0.027777777777777776,counterpoint_sha256_edge_threshold_v001,0,0,26,22,86,0.2037037037037037,26,26,0,82,5,0.046296296296296294,,
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema1-rep0,counterpoint_symbolic_n3_small_v001,p001_over_036,1,36,0.027777777777777776,counterpoint_sha256_edge_threshold_v001,1,0,29,25,83,0.23148148148148148,29,29,0,79,12,0.1111111111111111,,
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_n3_small_v001-p001_over_036-schema2-rep0,counterpoint_symbolic_n3_small_v001,p001_over_036,1,36,0.027777777777777776,counterpoint_sha256_edge_threshold_v001,2,0,34,29,79,0.26851851851851855,34,33,1,75,11,0.10185185185185185,,
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-rep0,counterpoint_symbolic_n3_small_v001,p001_over_018,1,18,0.05555555555555555,counterpoint_sha256_edge_threshold_v001,0,0,55,44,64,0.4074074074074074,55,54,1,54,10,0.09259259259259259,,
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema1-rep0,counterpoint_symbolic_n3_small_v001,p001_over_018,1,18,0.05555555555555555,counterpoint_sha256_edge_threshold_v001,1,0,58,43,65,0.39814814814814814,58,55,3,53,36,0.3333333333333333,,
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema2-rep0,counterpoint_symbolic_n3_small_v001,p001_over_018,1,18,0.05555555555555555,counterpoint_sha256_edge_threshold_v001,2,0,69,50,58,0.46296296296296297,69,65,4,43,44,0.4074074074074074,,
