evaluation_id,schema_class_id,tier_index,control_action,event_count,event_share
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,exploit_execute,19,0.03209459459459459
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,explore,45,0.07601351351351351
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,train,16,0.02702702702702703
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,1,descend,8,0.013513513513513514
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,2,descend,8,0.013513513513513514
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,3,descend,8,0.013513513513513514
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,descend,8,0.013513513513513514
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,exploit_execute,5,0.008445945945945946
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,explore,363,0.6131756756756757
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,train,112,0.1891891891891892
