evaluation_id,schema_class_id,tier_index,control_action,event_count,event_share
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,exploit_execute,19,0.10614525139664804
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,explore,45,0.25139664804469275
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,train,16,0.0893854748603352
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,0,exploit_execute,1,0.00558659217877095
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,0,explore,26,0.1452513966480447
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,0,lift,8,0.0446927374301676
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,0,train,8,0.0446927374301676
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,1,descend,8,0.0446927374301676
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,1,exploit_execute,4,0.0223463687150838
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,1,explore,36,0.2011173184357542
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,1,train,8,0.0446927374301676
