evaluation_id,schema_class_id,tier_index,control_action,event_count,event_share
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,exploit_execute,16,0.04050632911392405
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,explore,48,0.12151898734177215
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,train,16,0.04050632911392405
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,1,descend,8,0.020253164556962026
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,10,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,11,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,12,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,13,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,14,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,15,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,16,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,17,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,18,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,19,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,2,descend,8,0.020253164556962026
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,2,explore,1,0.002531645569620253
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,20,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,explore,12,0.030379746835443037
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,lift,6,0.015189873417721518
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,train,6,0.015189873417721518
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,exploit_execute,6,0.015189873417721518
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,explore,33,0.08354430379746836
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,train,9,0.02278481012658228
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,3,descend,8,0.020253164556962026
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,descend,8,0.020253164556962026
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,explore,6,0.015189873417721518
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,5,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,6,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,7,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,8,descend,11,0.027848101265822784
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,8,explore,1,0.002531645569620253
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,8,train,1,0.002531645569620253
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,9,descend,10,0.02531645569620253
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,9,explore,5,0.012658227848101266
