evaluation_id,schema_class_id,tier_index,event_count,executable_event_count,selected_event_count
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,80,80,56
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,0,315,315,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,1,315,315,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,10,315,247,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,11,315,247,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,12,315,247,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,13,315,247,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,14,315,247,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,15,315,247,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,16,315,247,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,17,315,247,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,18,315,247,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,19,315,247,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,2,315,315,3
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,20,315,247,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,315,247,24
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,315,247,223
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,23,315,0,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,24,315,0,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,25,315,0,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,26,315,0,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,27,315,0,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,28,315,0,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,29,315,0,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,3,315,312,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,30,315,0,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,31,315,0,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,32,315,0,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,315,312,18
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,5,315,294,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,6,315,294,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,7,315,294,0
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,8,315,294,6
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,9,315,288,41
