evaluation_id,schema_class_id,active_tier,failure_reason,event_count,threshold_value,threshold_label,source_file
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,,128,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,2,,8,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,,26,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,,79,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,,8,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,8,,1,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,9,,6,12.0,r012000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r012000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,,128,13.0,r013000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r013000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,2,,8,13.0,r013000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r013000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,,26,13.0,r013000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r013000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,,79,13.0,r013000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r013000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,,8,13.0,r013000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r013000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,8,,1,13.0,r013000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r013000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,9,,6,13.0,r013000,/Users/foster/big_boy_benchmarking/docs/evaluations/counterpoint_symbolic_v001/threshold_frontier_probe/artifacts/episodes16_001/threshold_runs/r013000/evaluations/counterpoint_second_serious_schema_comparison_v001/results/lift_success_by_tier.csv
