evaluation_id,schema_class_id,tier_index,event_count
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,40
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,0,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,1,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,10,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,11,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,12,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,13,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,14,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,15,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,16,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,17,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,18,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,19,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,2,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,20,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,21,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,22,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,23,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,24,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,25,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,26,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,27,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,28,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,29,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,3,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,30,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,31,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,32,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,5,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,6,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,7,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,8,162
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,9,162
