candidate_id,schema_id,schema_family_id,schema_seed,schema_mode,selection_rate,ratio_numerator,ratio_denominator,max_iterations,selector_rule_id,selection_mode,max_depth,nontrivial_tier_count,selection_status,blocking_reason,eligibility_reason
plate_support_candidate:action_category:0:3397fc3c62,plate_support_schema_arm_extension_actions_v001,action_category,0,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,not_selected,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,blocked: current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable
plate_support_candidate:action_category:0:8225e3cccb,plate_support_schema_motion_vs_support_actions_v001,action_category,0,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,not_selected,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,blocked: current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable
plate_support_candidate:action_category:0:32e289b48f,plate_support_schema_plate_motion_actions_v001,action_category,0,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,not_selected,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,blocked: current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable
plate_support_candidate:edge_global_noisy_rate:0:72f750d02e,plate_support_schema_edge_global_noisy_rate_001_over_388_v001,edge_global_noisy_rate,0,not_supported,1/388,,,,not_applicable,not_applicable,0,0,not_selected,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,blocked: current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction
plate_support_candidate:edge_global_noisy_rate:0:e57ec92d62,plate_support_schema_edge_global_noisy_rate_002_over_388_v001,edge_global_noisy_rate,0,not_supported,2/388,,,,not_applicable,not_applicable,0,0,not_selected,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,blocked: current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction
plate_support_candidate:edge_global_noisy_rate:0:7ca094d8ae,plate_support_schema_edge_global_noisy_rate_004_over_388_v001,edge_global_noisy_rate,0,not_supported,4/388,,,,not_applicable,not_applicable,0,0,not_selected,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,blocked: current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction
plate_support_candidate:edge_global_noisy_rate:0:2853808243,plate_support_schema_edge_global_noisy_rate_008_over_388_v001,edge_global_noisy_rate,0,not_supported,8/388,,,,not_applicable,not_applicable,0,0,not_selected,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,blocked: current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction
plate_support_candidate:geometry_coordinate:0:ee6cca0426,plate_support_schema_orientation_only_v001,geometry_coordinate,0,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,not_selected,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_candidate:geometry_coordinate:0:6e7ee1faf6,plate_support_schema_position_only_v001,geometry_coordinate,0,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,not_selected,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_candidate:geometry_coordinate:0:dd9dbc78ef,plate_support_schema_position_support_v001,geometry_coordinate,0,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,not_selected,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_candidate:geometry_coordinate:0:7ee5b68362,plate_support_schema_reachability_pattern_only_v001,geometry_coordinate,0,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,not_selected,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_candidate:geometry_coordinate:0:b8f3427ea0,plate_support_schema_support_pattern_only_v001,geometry_coordinate,0,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,not_selected,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,blocked: state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API
plate_support_candidate:source_local_ratio_iterated:0:a98138fe4a,plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,source_local_ratio_iterated,1/36,1,36,32,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,11,10,not_selected,runtime_unexecutable,blocked: runtime_unexecutable
plate_support_candidate:upstream_default:0:3d81b162c2,plate_support_schema_upstream_default_v001,upstream_default,0,default,not_applicable,,,,not_applicable,not_applicable,2,0,not_selected,full_first_projection_collapse,blocked: full_first_projection_collapse
