candidate_id,source_stage_id,source_row_id,source_artifact_root,source_trace_status
plate_support_candidate:no_contraction:0:e8f4c3f526,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0000,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:source_local_ratio_iterated:0:c8b8935b4c,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0003,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:source_local_ratio_iterated:0:c8462cf197,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0004,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:controlled_degeneracy:0:c5f12e7874,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0019,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:source_local_ratio:0:1e20925d18,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0002,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:source_local_ratio_iterated:0:ee48d72014,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0006,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:controlled_degeneracy:0:d5881a72b8,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0020,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:action_category:0:3397fc3c62,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0008,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:action_category:0:8225e3cccb,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0009,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:action_category:0:32e289b48f,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0007,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:edge_global_noisy_rate:0:72f750d02e,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0010,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:edge_global_noisy_rate:0:e57ec92d62,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0011,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:edge_global_noisy_rate:0:7ca094d8ae,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0012,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:edge_global_noisy_rate:0:2853808243,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0013,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:geometry_coordinate:0:ee6cca0426,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0015,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:geometry_coordinate:0:6e7ee1faf6,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0014,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:geometry_coordinate:0:dd9dbc78ef,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0018,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:geometry_coordinate:0:7ee5b68362,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0017,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:geometry_coordinate:0:b8f3427ea0,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0016,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:source_local_ratio_iterated:0:a98138fe4a,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0005,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
plate_support_candidate:upstream_default:0:3d81b162c2,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0001,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/iterated_001/stages/contraction_schema_sweep,complete
