schema_id,schema_family_id,schema_seed,tier_index,action_cell_count,endpoint_pair_count,endpoint_coalescence_count,diagnostic_status
plate_support_schema_no_contraction_v001,no_contraction,0,0,8,8,0,ok
plate_support_schema_upstream_default_v001,upstream_default,0,0,8,8,0,ok
plate_support_schema_upstream_default_v001,upstream_default,0,1,0,0,0,ok
plate_support_schema_source_local_ratio_001_over_018_v001,source_local_ratio,0,0,388,388,0,ok
plate_support_schema_source_local_ratio_001_over_018_v001,source_local_ratio,0,1,116,44,72,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,0,388,388,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,1,376,376,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,2,374,374,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,3,364,364,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,4,362,362,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,5,358,358,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,6,350,342,8,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,7,346,334,12,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,8,336,320,16,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,9,334,318,16,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,10,328,312,16,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,11,316,288,28,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,12,308,274,34,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,13,304,270,34,ok
