schema_id,schema_family_id,schema_seed,tier_index,tier_executable_from_current_state,lift_success_probe_count,lift_failure_probe_count,active_action_cell_count,diagnostic_status
plate_support_schema_no_contraction_v001,no_contraction,0,0,True,8,0,8,ok
plate_support_schema_upstream_default_v001,upstream_default,0,0,True,8,0,8,ok
plate_support_schema_upstream_default_v001,upstream_default,0,1,False,0,1,0,ok
plate_support_schema_source_local_ratio_001_over_018_v001,source_local_ratio,0,0,True,8,0,8,ok
plate_support_schema_source_local_ratio_001_over_018_v001,source_local_ratio,0,1,True,6,0,6,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,0,True,8,0,8,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,1,True,8,0,8,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,2,True,8,0,8,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,3,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,4,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,5,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,6,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,7,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,8,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,9,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,10,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,11,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,12,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,13,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,14,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,15,True,6,0,6,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,16,True,6,0,6,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,17,True,6,0,6,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,0,True,8,0,8,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,1,True,8,0,8,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,2,True,8,0,8,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,3,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,4,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,5,True,5,0,5,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,6,True,5,0,5,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,7,True,5,0,5,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,8,True,5,0,5,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,9,True,5,0,5,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,10,True,5,0,5,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,0,True,8,0,8,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,1,True,8,0,8,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,2,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,3,True,6,0,6,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,4,True,5,0,5,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,5,True,3,0,3,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,6,True,3,0,3,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,7,True,3,0,3,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,8,True,3,0,3,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,9,True,1,0,1,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,10,False,0,1,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,0,True,8,0,8,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,1,True,8,0,8,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,2,True,7,0,7,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,3,False,0,1,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,4,False,0,1,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,5,False,0,1,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,6,False,0,1,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,7,False,0,1,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,8,False,0,1,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,9,False,0,1,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,10,False,0,1,0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,11,False,0,1,0,ok
plate_support_schema_plate_motion_actions_v001,action_category,0,not_applicable,False,0,0,0,not_supported
plate_support_schema_arm_extension_actions_v001,action_category,0,not_applicable,False,0,0,0,not_supported
plate_support_schema_motion_vs_support_actions_v001,action_category,0,not_applicable,False,0,0,0,not_supported
plate_support_schema_edge_global_noisy_rate_001_over_388_v001,edge_global_noisy_rate,0,not_applicable,False,0,0,0,not_supported
plate_support_schema_edge_global_noisy_rate_002_over_388_v001,edge_global_noisy_rate,0,not_applicable,False,0,0,0,not_supported
plate_support_schema_edge_global_noisy_rate_004_over_388_v001,edge_global_noisy_rate,0,not_applicable,False,0,0,0,not_supported
plate_support_schema_edge_global_noisy_rate_008_over_388_v001,edge_global_noisy_rate,0,not_applicable,False,0,0,0,not_supported
plate_support_schema_position_only_v001,geometry_coordinate,0,not_applicable,False,0,0,0,not_supported
plate_support_schema_orientation_only_v001,geometry_coordinate,0,not_applicable,False,0,0,0,not_supported
plate_support_schema_support_pattern_only_v001,geometry_coordinate,0,not_applicable,False,0,0,0,not_supported
plate_support_schema_reachability_pattern_only_v001,geometry_coordinate,0,not_applicable,False,0,0,0,not_supported
plate_support_schema_position_support_v001,geometry_coordinate,0,not_applicable,False,0,0,0,not_supported
plate_support_schema_full_single_block_v001,controlled_degeneracy,0,not_applicable,False,0,0,0,not_supported
plate_support_schema_source_local_one_drop_v001,controlled_degeneracy,0,not_applicable,False,0,0,0,not_supported
