schema_id,schema_family_id,schema_seed,tier_index,max_depth,state_cell_count,action_cell_count,largest_cell_share,singleton_cell_share,scheduled_assignment_count,unscheduled_assignment_count,depth_curve,reset_event_count,diagnostic_status
plate_support_schema_no_contraction_v001,no_contraction,0,0,1,9,8,0.1111111111111111,1.0,0,84,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0,ok
plate_support_schema_upstream_default_v001,upstream_default,0,0,2,9,8,0.1111111111111111,1.0,84,0,"[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2]",0,ok
plate_support_schema_upstream_default_v001,upstream_default,0,1,2,1,0,1.0,0.0,84,0,"[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2]",0,ok
plate_support_schema_source_local_ratio_001_over_018_v001,source_local_ratio,0,0,2,89,388,0.011235955056179775,1.0,89,483,[2],0,ok
plate_support_schema_source_local_ratio_001_over_018_v001,source_local_ratio,0,1,2,10,116,0.2247191011235955,0.0,89,483,[2],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,0,18,89,388,0.011235955056179775,1.0,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,1,18,83,376,0.02247191011235955,0.927710843373494,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,2,18,82,374,0.02247191011235955,0.9146341463414634,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,3,18,78,364,0.02247191011235955,0.8589743589743589,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,4,18,77,362,0.033707865168539325,0.8571428571428571,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,5,18,76,358,0.033707865168539325,0.8421052631578947,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,6,18,72,350,0.056179775280898875,0.8333333333333334,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,7,18,70,346,0.056179775280898875,0.8285714285714286,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,8,18,67,336,0.056179775280898875,0.8059701492537313,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,9,18,66,334,0.056179775280898875,0.803030303030303,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,10,18,64,328,0.056179775280898875,0.78125,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,11,18,59,316,0.056179775280898875,0.7457627118644068,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,12,18,56,308,0.0898876404494382,0.75,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,13,18,55,304,0.0898876404494382,0.7272727272727273,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,14,18,53,298,0.12359550561797752,0.7358490566037735,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,15,18,52,296,0.15730337078651685,0.75,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,16,18,49,286,0.15730337078651685,0.7142857142857143,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,17,18,46,268,0.15730337078651685,0.6956521739130435,43,529,[18],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,0,11,89,388,0.011235955056179775,1.0,46,526,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,1,11,79,368,0.02247191011235955,0.8734177215189873,46,526,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,2,11,75,358,0.033707865168539325,0.8533333333333334,46,526,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,3,11,67,338,0.056179775280898875,0.7910447761194029,46,526,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,4,11,62,326,0.07865168539325842,0.7741935483870968,46,526,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,5,11,58,308,0.0898876404494382,0.7931034482758621,46,526,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,6,11,55,296,0.1797752808988764,0.8,46,526,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,7,11,52,290,0.1797752808988764,0.75,46,526,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,8,11,50,286,0.19101123595505617,0.74,46,526,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,9,11,45,270,0.20224719101123595,0.6888888888888889,46,526,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,10,11,43,258,0.20224719101123595,0.6744186046511628,46,526,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,0,11,89,388,0.011235955056179775,1.0,72,500,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,1,11,73,356,0.02247191011235955,0.7808219178082192,72,500,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,2,11,64,334,0.0449438202247191,0.71875,72,500,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,3,11,55,302,0.06741573033707865,0.6545454545454545,72,500,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,4,11,48,270,0.0898876404494382,0.7083333333333334,72,500,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,5,11,43,242,0.2808988764044944,0.7441860465116279,72,500,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,6,11,35,210,0.3707865168539326,0.7428571428571429,72,500,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,7,11,32,196,0.39325842696629215,0.71875,72,500,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,8,11,28,156,0.550561797752809,0.75,72,500,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,9,11,22,110,0.6741573033707865,0.7272727272727273,72,500,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,10,11,18,84,0.7528089887640449,0.8333333333333334,72,500,[11],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,0,12,89,388,0.011235955056179775,1.0,93,479,[12],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,1,12,64,332,0.0449438202247191,0.734375,93,479,[12],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,2,12,50,294,0.11235955056179775,0.62,93,479,[12],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,3,12,33,190,0.3707865168539326,0.6363636363636364,93,479,[12],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,4,12,23,122,0.6179775280898876,0.6956521739130435,93,479,[12],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,5,12,19,98,0.6629213483146067,0.6842105263157895,93,479,[12],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,6,12,13,40,0.8426966292134831,0.7692307692307693,93,479,[12],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,7,12,12,38,0.8426966292134831,0.6666666666666666,93,479,[12],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,8,12,11,36,0.8539325842696629,0.6363636363636364,93,479,[12],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,9,12,9,32,0.8764044943820225,0.5555555555555556,93,479,[12],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,10,12,8,28,0.8876404494382022,0.5,93,479,[12],0,ok
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,11,12,5,18,0.9213483146067416,0.2,93,479,[12],0,ok
plate_support_schema_plate_motion_actions_v001,action_category,0,not_applicable,0,0,0,0.0,0.0,0,0,[],0,not_supported
plate_support_schema_arm_extension_actions_v001,action_category,0,not_applicable,0,0,0,0.0,0.0,0,0,[],0,not_supported
plate_support_schema_motion_vs_support_actions_v001,action_category,0,not_applicable,0,0,0,0.0,0.0,0,0,[],0,not_supported
plate_support_schema_edge_global_noisy_rate_001_over_388_v001,edge_global_noisy_rate,0,not_applicable,0,0,0,0.0,0.0,0,0,[],0,not_supported
plate_support_schema_edge_global_noisy_rate_002_over_388_v001,edge_global_noisy_rate,0,not_applicable,0,0,0,0.0,0.0,0,0,[],0,not_supported
plate_support_schema_edge_global_noisy_rate_004_over_388_v001,edge_global_noisy_rate,0,not_applicable,0,0,0,0.0,0.0,0,0,[],0,not_supported
