pair_id,arm_id,arm_type,candidate_id,schema_id,run_id,replicate_index,episode_index,step_index,tier,state_cell_id,action_cell_id,action_index,selection_mode,q_value_before
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,0,0,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=1, e3=1)",action:8,8,epsilon_explore,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,1,0,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",action:0,0,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,2,0,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",action:0,0,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,3,0,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",action:7,7,epsilon_explore,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,4,0,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",action:1,1,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,5,0,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",action:3,3,epsilon_explore,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,6,0,"PlateSupportState(x_idx=2, y_idx=1, theta_idx=0, e1=1, e2=2, e3=1)",action:0,0,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,7,0,"PlateSupportState(x_idx=2, y_idx=1, theta_idx=0, e1=1, e2=2, e3=1)",action:1,1,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,8,0,"PlateSupportState(x_idx=2, y_idx=1, theta_idx=0, e1=1, e2=2, e3=1)",action:2,2,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,9,0,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",action:6,6,epsilon_explore,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,10,0,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=2, e2=2, e3=1)",action:0,0,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,11,0,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=2, e2=2, e3=1)",action:0,0,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,12,0,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=2, e2=2, e3=1)",action:1,1,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,13,0,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=2, e2=2, e3=1)",action:1,1,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,14,0,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=2, e2=2, e3=1)",action:0,0,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,15,0,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=2, e2=2, e3=1)",action:1,1,epsilon_explore,-0.25
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,16,0,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=2, e2=2, e3=1)",action:1,1,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,17,0,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=2, e2=2, e3=1)",action:2,2,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,18,0,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=2, e2=2, e3=1)",action:3,3,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,19,0,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=2, e2=2, e3=1)",action:4,4,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,20,0,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=2, e2=2, e3=1)",action:3,3,epsilon_explore,-0.75
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,21,0,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=2, e2=2, e3=1)",action:5,5,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,22,0,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=2, e2=2, e3=1)",action:7,7,epsilon_explore,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,23,0,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",action:0,0,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,24,0,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",action:1,1,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,25,0,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=1, e2=2, e3=1)",action:9,9,epsilon_explore,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,26,0,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=1, e2=1, e3=1)",action:0,0,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,27,0,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=1, e3=1)",action:0,0,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,28,0,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=1, e2=1, e3=1)",action:1,1,epsilon_explore,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,29,0,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=1, e3=1)",action:1,1,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,30,0,"PlateSupportState(x_idx=1, y_idx=2, theta_idx=0, e1=1, e2=1, e3=1)",action:0,0,epsilon_explore,-0.25
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,31,0,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=1, e3=1)",action:2,2,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,32,0,"PlateSupportState(x_idx=2, y_idx=3, theta_idx=0, e1=1, e2=1, e3=1)",action:0,0,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,33,0,"PlateSupportState(x_idx=2, y_idx=3, theta_idx=0, e1=1, e2=1, e3=1)",action:1,1,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,34,0,"PlateSupportState(x_idx=2, y_idx=3, theta_idx=0, e1=1, e2=1, e3=1)",action:2,2,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,35,0,"PlateSupportState(x_idx=2, y_idx=3, theta_idx=0, e1=1, e2=1, e3=1)",action:3,3,greedy,0.0
pairrep002,plate_support_direct_concrete_baseline,direct_concrete_baseline,direct_baseline,no_contraction,iterated_001-pairrep002-plate-support-direct-concrete-baseline,2,0,36,0,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=1, e3=1)",action:5,5,epsilon_explore,0.0
