candidate_id,source_stage_id,source_row_id,source_artifact_root,source_trace_status
plate_support_candidate:no_contraction:0:3348f86d2c,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0000,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0002,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:controlled_degeneracy:0:1a43a48fbd,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0015,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:controlled_degeneracy:0:83c61ab65d,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0016,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:action_category:0:41c5e8eee3,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0004,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:action_category:0:909a211621,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0005,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:action_category:0:0fafac3257,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0003,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:edge_global_noisy_rate:0:ab0911e0d5,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0006,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:edge_global_noisy_rate:0:663c867785,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0007,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:edge_global_noisy_rate:0:41cdc80eaf,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0008,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:edge_global_noisy_rate:0:f2d28cb271,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0009,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:geometry_coordinate:0:5a64391002,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0011,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:geometry_coordinate:0:eb47c0c176,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0010,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:geometry_coordinate:0:7b1f67d4c8,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0014,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:geometry_coordinate:0:30190c95b0,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0013,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:geometry_coordinate:0:cd1f3a4106,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0012,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
plate_support_candidate:upstream_default:0:7293e27b5a,plate_support_gauntlet_contraction_schema_sweep_v001,stage2_signal_row_0001,/Users/foster/big_boy_benchmarking/docs/evaluations/plate_support_5x5_default_v001/standard_gauntlet/artifacts/smoke_001/stages/contraction_schema_sweep,complete
