pair_id,arm_id,arm_type,candidate_id,schema_id,run_id,replicate_index,episode_index,step_index,tier_before,tier_after,state_cell_before,state_cell_after,active_action_cell_count,blocked_reason
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,0,1,1,"StateCellId(tier=1, ordinal=9)","StateCellId(tier=1, ordinal=16)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,1,1,1,"StateCellId(tier=1, ordinal=16)","StateCellId(tier=1, ordinal=19)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,2,1,1,"StateCellId(tier=1, ordinal=19)","StateCellId(tier=1, ordinal=22)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,3,1,1,"StateCellId(tier=1, ordinal=22)","StateCellId(tier=1, ordinal=19)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,4,1,1,"StateCellId(tier=1, ordinal=19)","StateCellId(tier=1, ordinal=22)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,5,1,1,"StateCellId(tier=1, ordinal=22)","StateCellId(tier=1, ordinal=27)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,6,1,1,"StateCellId(tier=1, ordinal=27)","StateCellId(tier=1, ordinal=33)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,7,1,1,"StateCellId(tier=1, ordinal=33)","StateCellId(tier=1, ordinal=9)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,8,1,1,"StateCellId(tier=1, ordinal=9)","StateCellId(tier=1, ordinal=39)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,9,1,1,"StateCellId(tier=1, ordinal=39)","StateCellId(tier=1, ordinal=42)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,10,1,1,"StateCellId(tier=1, ordinal=42)","StateCellId(tier=1, ordinal=44)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,11,1,1,"StateCellId(tier=1, ordinal=44)","StateCellId(tier=1, ordinal=50)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,12,1,1,"StateCellId(tier=1, ordinal=50)","StateCellId(tier=1, ordinal=52)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,13,1,1,"StateCellId(tier=1, ordinal=52)","StateCellId(tier=1, ordinal=53)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,14,1,1,"StateCellId(tier=1, ordinal=53)","StateCellId(tier=1, ordinal=52)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,15,1,1,"StateCellId(tier=1, ordinal=52)","StateCellId(tier=1, ordinal=54)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,16,1,1,"StateCellId(tier=1, ordinal=54)","StateCellId(tier=1, ordinal=52)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,17,1,1,"StateCellId(tier=1, ordinal=52)","StateCellId(tier=1, ordinal=54)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,18,1,1,"StateCellId(tier=1, ordinal=54)","StateCellId(tier=1, ordinal=44)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,19,1,1,"StateCellId(tier=1, ordinal=44)","StateCellId(tier=1, ordinal=54)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,20,1,1,"StateCellId(tier=1, ordinal=54)","StateCellId(tier=1, ordinal=33)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,21,1,1,"StateCellId(tier=1, ordinal=33)","StateCellId(tier=1, ordinal=9)",1,
pairrep002,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep002-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,2,0,22,1,1,"StateCellId(tier=1, ordinal=9)","StateCellId(tier=1, ordinal=39)",1,
