geometry_domain,label,valid_state_count,share
support_pattern,"[1,0,1]",33,0.3707865168539326
support_pattern,"[1,1,1]",56,0.6292134831460674
reachability_pattern,"[true,false,true]",33,0.3707865168539326
reachability_pattern,"[true,true,true]",56,0.6292134831460674
orientation,0,72,0.8089887640449438
orientation,1,7,0.07865168539325842
orientation,2,3,0.033707865168539325
orientation,3,7,0.07865168539325842
position,"1,1",4,0.0449438202247191
position,"1,2",12,0.1348314606741573
position,"1,3",4,0.0449438202247191
position,"2,0",2,0.02247191011235955
position,"2,1",12,0.1348314606741573
position,"2,2",21,0.23595505617977527
position,"2,3",12,0.1348314606741573
position,"2,4",2,0.02247191011235955
position,"3,1",4,0.0449438202247191
position,"3,2",12,0.1348314606741573
position,"3,3",4,0.0449438202247191
