candidate_id,schema_id,run_id,replicate_index,episode_index,step_index,tier_before,tier_after,state_cell_before,state_cell_after,active_action_cell_count,blocked_reason
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,0,1,1,"StateCellId(tier=1, ordinal=9)","StateCellId(tier=1, ordinal=17)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,1,1,1,"StateCellId(tier=1, ordinal=17)","StateCellId(tier=1, ordinal=21)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,2,1,1,"StateCellId(tier=1, ordinal=21)","StateCellId(tier=1, ordinal=25)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,3,1,1,"StateCellId(tier=1, ordinal=25)","StateCellId(tier=1, ordinal=27)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,4,1,1,"StateCellId(tier=1, ordinal=27)","StateCellId(tier=1, ordinal=32)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,5,1,1,"StateCellId(tier=1, ordinal=32)","StateCellId(tier=1, ordinal=35)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,6,1,1,"StateCellId(tier=1, ordinal=35)","StateCellId(tier=1, ordinal=38)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,7,1,1,"StateCellId(tier=1, ordinal=38)","StateCellId(tier=1, ordinal=41)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,8,1,1,"StateCellId(tier=1, ordinal=41)","StateCellId(tier=1, ordinal=45)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,9,1,1,"StateCellId(tier=1, ordinal=45)","StateCellId(tier=1, ordinal=50)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,10,1,1,"StateCellId(tier=1, ordinal=50)","StateCellId(tier=1, ordinal=53)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,11,1,1,"StateCellId(tier=1, ordinal=53)","StateCellId(tier=1, ordinal=56)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,12,1,1,"StateCellId(tier=1, ordinal=56)","StateCellId(tier=1, ordinal=59)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,13,1,1,"StateCellId(tier=1, ordinal=59)","StateCellId(tier=1, ordinal=64)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,14,1,1,"StateCellId(tier=1, ordinal=64)","StateCellId(tier=1, ordinal=65)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,15,1,1,"StateCellId(tier=1, ordinal=65)","StateCellId(tier=1, ordinal=64)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,16,1,1,"StateCellId(tier=1, ordinal=64)","StateCellId(tier=1, ordinal=65)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,17,1,1,"StateCellId(tier=1, ordinal=65)","StateCellId(tier=1, ordinal=67)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,18,1,1,"StateCellId(tier=1, ordinal=67)","StateCellId(tier=1, ordinal=69)",1,
plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-plate-support-candidate-source-local-ratio-0-342448ef2e-trainrep0,0,0,19,1,1,"StateCellId(tier=1, ordinal=69)","StateCellId(tier=1, ordinal=67)",1,
